User ID,Join Date,Last Payment Date,SubscriptionID,Monthly Revenue,Monthly_Revenue,Gender,Device,Country,FamilyMember,Age,TimeConsumingPerWeek,Genre,Satisfaction,MontlyIncomeUSD,Monthly Income,SubscriptionMethod,MonthlyFeeUSD,NoDevice,PlanDurationMonth,Monthly Fee 
71,26-01-2022,20-06-2023,1,10,876.3,Male,Smartphone,United States,3,24,10,Horror,Extremely satisfied,800,70104,Basic,10,1,1,876.3
72,11-10-2022,22-06-2023,1,10,876.3,Female,Smartphone,Canada,5,20,7,Comedy,Neutral,800,70104,Basic,10,1,1,876.3
73,27-09-2022,26-06-2023,2,12,1051.56,Female,Laptop,United Kingdom,3,17,8,Horror,Extremely satisfied,700,61341,Standard,12,2,1,1051.56
74,14-12-2022,25-06-2023,3,13,1139.19,Female,Smartphone,Australia,4,19,7,Dramma,Satisfied,600,52578,Premium,15,4,1,1314.45
75,28-05-2022,26-06-2023,1,13,1139.19,Female,Laptop,Germany,2,21,10,Horror,Satisfied,700,61341,Basic,10,1,1,876.3
76,29-12-2021,26-06-2023,1,13,1139.19,Female,Laptop,France,5,18,6,Comedy,Neutral,900,78867,Basic,10,1,1,876.3
77,25-12-2022,23-06-2023,3,15,1314.45,Female,Smartphone,Brazil,6,18,10,Horror,Extremely satisfied,600,52578,Premium,15,4,1,1314.45
78,18-11-2022,28-06-2023,2,15,1314.45,Male,Tablet,Mexico,3,25,8,Action & Adventure,Satisfied,800,70104,Standard,12,2,1,1051.56
79,03-12-2022,25-06-2023,2,15,1314.45,Female,Laptop,Spain,2,21,9,Comedy,Satisfied,700,61341,Standard,12,2,1,1051.56
80,08-11-2022,22-06-2023,1,12,1051.56,Male,Tablet,Italy,2,21,6,Horror,Satisfied,1000,87630,Basic,10,1,1,876.3
81,11-01-2023,24-06-2023,3,10,876.3,Male,Tablet,United States,4,20,9,Action & Adventure,Neutral,600,52578,Premium,15,4,1,1314.45
82,07-12-2022,28-06-2023,2,12,1051.56,Male,Laptop,Canada,2,19,6,Horror,Neutral,800,70104,Standard,12,2,1,1051.56
83,20-10-2022,26-06-2023,1,10,876.3,Female,Smartphone,United Kingdom,5,17,8,Dramma,Extremely satisfied,800,70104,Basic,10,1,1,876.3
84,13-04-2023,25-06-2023,2,12,1051.56,Male,Smartphone,Australia,3,20,9,Action & Adventure,Extremely satisfied,800,70104,Standard,12,2,1,1051.56
85,06-04-2023,27-06-2023,3,10,876.3,Female,Laptop,Germany,5,21,10,Dramma,Satisfied,900,78867,Premium,15,4,1,1314.45
86,04-03-2022,25-06-2023,1,11,963.93,Female,Smartphone,France,5,20,6,Comedy,Extremely satisfied,600,52578,Basic,10,1,1,876.3
87,28-12-2021,23-06-2023,3,15,1314.45,Male,Smart TV,Brazil,5,24,8,Action & Adventure,Satisfied,800,70104,Premium,15,4,1,1314.45
88,27-09-2022,28-06-2023,2,12,1051.56,Male,Tablet,Mexico,4,17,10,Horror,Extremely satisfied,500,43815,Standard,12,2,1,1051.56
89,20-10-2022,26-06-2023,1,15,1314.45,Male,Smartphone,Spain,1,17,7,Action & Adventure,Extremely satisfied,800,70104,Basic,10,1,1,876.3
90,03-02-2023,23-06-2023,2,13,1139.19,Female,Smartphone,Italy,4,20,10,Horror,Neutral,1000,87630,Standard,12,2,1,1051.56
91,03-10-2022,23-06-2023,3,11,963.93,Male,Tablet,United States,5,25,8,Horror,Extremely satisfied,1000,87630,Premium,15,4,1,1314.45
92,05-01-2022,28-06-2023,1,14,1226.82,Male,Smart TV,Canada,3,23,9,Horror,Neutral,700,61341,Basic,10,1,1,876.3
93,05-02-2022,26-06-2023,2,12,1051.56,Male,Smartphone,United Kingdom,4,22,6,Action & Adventure,Neutral,900,78867,Standard,12,2,1,1051.56
94,19-03-2022,25-06-2023,3,12,1051.56,Male,Smartphone,Australia,6,22,8,Action & Adventure,Satisfied,1000,87630,Premium,15,4,1,1314.45
95,28-02-2022,25-06-2023,1,11,963.93,Male,Laptop,Germany,3,21,10,Action & Adventure,Extremely satisfied,900,78867,Basic,10,1,1,876.3
96,26-07-2022,24-06-2023,3,14,1226.82,Male,Laptop,France,6,23,10,Horror,Satisfied,600,52578,Premium,15,4,1,1314.45
97,05-03-2022,24-06-2023,1,10,876.3,Female,Tablet,Brazil,1,19,9,Horror,Neutral,700,61341,Basic,10,1,1,876.3
98,07-03-2022,28-06-2023,2,13,1139.19,Female,Tablet,Mexico,2,17,8,Horror,Satisfied,500,43815,Standard,12,2,1,1051.56
99,13-01-2023,24-06-2023,2,12,1051.56,Female,Tablet,Spain,4,22,6,Dramma,Neutral,900,78867,Standard,12,2,1,1051.56
100,22-01-2023,25-06-2023,1,12,1051.56,Male,Laptop,Italy,5,21,10,Action & Adventure,Satisfied,600,52578,Basic,10,1,1,876.3
101,17-10-2022,24-06-2023,3,11,963.93,Female,Tablet,United States,4,18,8,Horror,Neutral,800,70104,Premium,15,4,1,1314.45
102,29-03-2022,28-06-2023,1,12,1051.56,Male,Tablet,Canada,2,17,9,Horror,Extremely satisfied,800,70104,Basic,10,1,1,876.3
103,04-04-2022,26-06-2023,2,13,1139.19,Male,Laptop,United Kingdom,3,25,7,Action & Adventure,Extremely satisfied,600,52578,Standard,12,2,1,1051.56
104,08-06-2022,25-06-2023,3,10,876.3,Male,Laptop,Australia,6,25,9,Action & Adventure,Satisfied,900,78867,Premium,15,4,1,1314.45
105,04-03-2022,27-06-2023,1,11,963.93,Female,Laptop,Germany,2,17,6,Horror,Neutral,900,78867,Basic,10,1,1,876.3
106,18-03-2022,24-06-2023,3,10,876.3,Female,Tablet,France,6,25,7,Comedy,Satisfied,900,78867,Premium,15,4,1,1314.45
107,07-03-2022,24-06-2023,1,14,1226.82,Female,Smart TV,Brazil,5,19,7,Dramma,Neutral,700,61341,Basic,10,1,1,876.3
108,24-05-2022,25-06-2023,2,12,1051.56,Female,Smart TV,Mexico,4,21,10,Comedy,Neutral,700,61341,Standard,12,2,1,1051.56
109,08-02-2023,25-06-2023,2,13,1139.19,Female,Tablet,Spain,3,21,10,Dramma,Satisfied,600,52578,Standard,12,2,1,1051.56
110,26-01-2023,24-06-2023,1,13,1139.19,Female,Laptop,Italy,1,21,7,Comedy,Satisfied,800,70104,Basic,10,1,1,876.3
111,14-07-2022,27-06-2023,3,14,1226.82,Male,Tablet,United States,4,23,8,Action & Adventure,Satisfied,700,61341,Premium,15,4,1,1314.45
112,01-06-2022,28-06-2023,1,10,876.3,Female,Laptop,Canada,2,25,8,Dramma,Extremely satisfied,700,61341,Basic,10,1,1,876.3
113,07-05-2022,26-06-2023,2,15,1314.45,Male,Tablet,United Kingdom,2,18,9,Action & Adventure,Neutral,700,61341,Standard,12,2,1,1051.56
114,18-11-2022,25-06-2023,3,10,876.3,Male,Smartphone,Australia,6,18,10,Horror,Extremely satisfied,700,61341,Premium,15,4,1,1314.45
115,05-04-2022,25-06-2023,1,11,963.93,Female,Laptop,Germany,4,18,7,Comedy,Neutral,900,78867,Basic,10,1,1,876.3
116,19-05-2022,23-06-2023,3,14,1226.82,Female,Smart TV,France,4,24,9,Horror,Neutral,900,78867,Premium,15,4,1,1314.45
117,30-10-2021,23-06-2023,1,15,1314.45,Female,Tablet,Brazil,1,19,8,Dramma,Extremely satisfied,600,52578,Basic,10,1,1,876.3
118,07-08-2022,27-06-2023,2,12,1051.56,Male,Smartphone,Mexico,4,21,6,Action & Adventure,Satisfied,700,61341,Standard,12,2,1,1051.56
119,20-09-2022,25-06-2023,2,11,963.93,Female,Smartphone,Spain,4,20,8,Dramma,Extremely satisfied,1000,87630,Standard,12,2,1,1051.56
120,18-10-2022,25-06-2023,1,10,876.3,Female,Smart TV,Italy,3,20,7,Comedy,Satisfied,600,52578,Basic,10,1,1,876.3
121,03-10-2022,24-06-2023,3,15,1314.45,Male,Smart TV,United States,6,19,7,Action & Adventure,Neutral,1000,87630,Premium,15,4,1,1314.45
122,03-05-2022,28-06-2023,1,11,963.93,Male,Smart TV,Canada,3,22,8,Action & Adventure,Extremely satisfied,800,70104,Basic,10,1,1,876.3
123,25-05-2022,26-06-2023,2,13,1139.19,Female,Smartphone,United Kingdom,3,22,9,Comedy,Extremely satisfied,1000,87630,Standard,12,2,1,1051.56
124,05-11-2022,25-06-2023,3,15,1314.45,Male,Laptop,Australia,5,24,7,Action & Adventure,Extremely satisfied,900,78867,Premium,15,4,1,1314.45
125,21-08-2022,24-06-2023,1,12,1051.56,Male,Smartphone,Germany,3,21,10,Horror,Neutral,700,61341,Basic,10,1,1,876.3
126,21-09-2022,23-06-2023,3,13,1139.19,Male,Laptop,France,5,17,6,Horror,Satisfied,900,78867,Premium,15,4,1,1314.45
127,23-11-2021,23-06-2023,1,10,876.3,Male,Smartphone,Brazil,2,21,6,Action & Adventure,Extremely satisfied,600,52578,Basic,10,1,1,876.3
128,06-10-2022,27-06-2023,2,12,1051.56,Male,Smartphone,Mexico,4,17,10,Action & Adventure,Satisfied,700,61341,Standard,12,2,1,1051.56
129,05-11-2022,23-06-2023,2,13,1139.19,Male,Smart TV,Spain,4,20,10,Horror,Extremely satisfied,1000,87630,Standard,12,2,1,1051.56
130,07-01-2023,23-06-2023,1,14,1226.82,Female,Tablet,Italy,3,25,9,Horror,Neutral,900,78867,Basic,10,1,1,876.3
131,06-10-2022,23-06-2023,3,15,1314.45,Male,Laptop,United States,5,21,8,Horror,Satisfied,700,61341,Premium,15,4,1,1314.45
132,24-06-2022,28-06-2023,1,15,1314.45,Female,Smart TV,Canada,1,25,10,Comedy,Extremely satisfied,700,61341,Basic,10,1,1,876.3
133,24-06-2022,26-06-2023,2,13,1139.19,Male,Smart TV,United Kingdom,3,22,6,Action & Adventure,Extremely satisfied,700,61341,Standard,12,2,1,1051.56
134,05-11-2022,25-06-2023,3,15,1314.45,Male,Tablet,Australia,4,22,8,Horror,Neutral,800,70104,Premium,15,4,1,1314.45
135,18-07-2022,26-06-2023,1,13,1139.19,Female,Smart TV,Germany,4,23,6,Comedy,Extremely satisfied,700,61341,Basic,10,1,1,876.3
136,13-09-2022,26-06-2023,3,12,1051.56,Female,Smart TV,France,5,20,8,Dramma,Extremely satisfied,900,78867,Premium,15,4,1,1314.45
137,10-08-2022,22-06-2023,1,12,1051.56,Male,Laptop,Brazil,3,18,10,Action & Adventure,Neutral,700,61341,Basic,10,1,1,876.3
138,21-09-2022,23-06-2023,2,15,1314.45,Male,Laptop,Mexico,4,22,10,Action & Adventure,Neutral,600,52578,Standard,12,2,1,1051.56
139,24-03-2023,23-06-2023,2,13,1139.19,Male,Smartphone,Spain,4,22,9,Horror,Neutral,600,52578,Standard,12,2,1,1051.56
140,02-05-2022,23-06-2023,1,12,1051.56,Female,Smartphone,Italy,1,23,10,Horror,Neutral,800,70104,Basic,10,1,1,876.3
141,11-05-2022,27-06-2023,3,12,1051.56,Male,Smartphone,United States,6,19,8,Horror,Satisfied,900,78867,Premium,15,4,1,1314.45
142,10-06-2022,22-06-2023,1,14,1226.82,Male,Smart TV,Canada,4,25,8,Horror,Extremely satisfied,600,52578,Basic,10,1,1,876.3
143,31-08-2022,24-06-2023,2,14,1226.82,Female,Tablet,United Kingdom,4,22,7,Horror,Satisfied,900,78867,Standard,12,2,1,1051.56
144,17-08-2022,26-06-2023,3,10,876.3,Male,Smart TV,Australia,4,24,6,Horror,Neutral,900,78867,Premium,15,4,1,1314.45
145,05-05-2022,26-06-2023,1,11,963.93,Female,Laptop,Germany,5,17,6,Comedy,Extremely satisfied,1000,87630,Basic,10,1,1,876.3
146,06-10-2022,25-06-2023,1,10,876.3,Male,Tablet,France,3,23,9,Horror,Neutral,600,52578,Basic,10,1,1,876.3
147,08-11-2022,24-06-2023,1,12,1051.56,Female,Laptop,Brazil,1,17,8,Comedy,Neutral,500,43815,Basic,10,1,1,876.3
148,27-11-2022,28-06-2023,2,15,1314.45,Female,Smartphone,Mexico,3,20,6,Comedy,Extremely satisfied,600,52578,Standard,12,2,1,1051.56
149,17-11-2022,27-06-2023,3,13,1139.19,Female,Smart TV,Spain,6,17,9,Comedy,Satisfied,800,70104,Premium,15,4,1,1314.45
150,15-12-2022,23-06-2023,1,10,876.3,Female,Laptop,Italy,5,20,8,Comedy,Satisfied,800,70104,Basic,10,1,1,876.3
151,12-12-2022,25-06-2023,1,15,1314.45,Female,Laptop,United States,1,22,9,Comedy,Satisfied,800,70104,Basic,10,1,1,876.3
152,23-11-2022,27-06-2023,3,14,1226.82,Female,Tablet,Canada,6,22,6,Dramma,Extremely satisfied,1000,87630,Premium,15,4,1,1314.45
153,25-12-2022,24-06-2023,2,11,963.93,Male,Smartphone,United Kingdom,4,19,8,Action & Adventure,Satisfied,800,70104,Standard,12,2,1,1051.56
154,11-03-2023,27-06-2023,2,11,963.93,Male,Laptop,Australia,4,19,6,Horror,Satisfied,800,70104,Standard,12,2,1,1051.56
155,18-11-2022,27-06-2023,1,14,1226.82,Male,Tablet,Germany,5,24,9,Action & Adventure,Neutral,900,78867,Basic,10,1,1,876.3
156,19-08-2022,25-06-2023,3,15,1314.45,Male,Smartphone,France,5,21,8,Horror,Satisfied,600,52578,Premium,15,4,1,1314.45
157,27-09-2022,24-06-2023,2,14,1226.82,Male,Laptop,Brazil,4,25,9,Horror,Extremely satisfied,700,61341,Standard,12,2,1,1051.56
158,19-10-2022,28-06-2023,1,13,1139.19,Female,Smartphone,Mexico,3,22,6,Comedy,Neutral,800,70104,Basic,10,1,1,876.3
159,21-12-2022,26-06-2023,2,10,876.3,Female,Smart TV,Spain,2,18,6,Dramma,Neutral,700,61341,Standard,12,2,1,1051.56
160,27-10-2022,25-06-2023,3,15,1314.45,Male,Smartphone,Italy,5,24,8,Horror,Extremely satisfied,800,70104,Premium,15,4,1,1314.45
161,23-10-2022,24-06-2023,1,10,876.3,Male,Tablet,United States,2,20,6,Action & Adventure,Extremely satisfied,800,70104,Basic,10,1,1,876.3
162,19-04-2022,25-06-2023,3,15,1314.45,Male,Laptop,Canada,5,24,10,Horror,Neutral,1000,87630,Premium,15,4,1,1314.45
163,05-04-2022,26-06-2023,2,11,963.93,Male,Laptop,United Kingdom,3,19,7,Action & Adventure,Extremely satisfied,900,78867,Standard,12,2,1,1051.56
164,11-03-2022,26-06-2023,1,11,963.93,Female,Tablet,Australia,4,18,10,Dramma,Satisfied,600,52578,Basic,10,1,1,876.3
165,25-05-2022,25-06-2023,2,14,1226.82,Male,Tablet,Germany,3,24,6,Horror,Extremely satisfied,800,70104,Standard,12,2,1,1051.56
166,16-04-2022,26-06-2023,3,13,1139.19,Male,Laptop,France,4,17,10,Action & Adventure,Satisfied,600,52578,Premium,15,4,1,1314.45
167,07-04-2022,24-06-2023,1,13,1139.19,Male,Smartphone,Brazil,5,17,9,Horror,Satisfied,500,43815,Basic,10,1,1,876.3
168,11-12-2022,28-06-2023,2,10,876.3,Male,Tablet,Mexico,4,17,9,Horror,Neutral,500,43815,Standard,12,2,1,1051.56
169,20-01-2023,26-06-2023,3,12,1051.56,Male,Tablet,Spain,4,22,10,Action & Adventure,Neutral,900,78867,Premium,15,4,1,1314.45
170,12-01-2023,25-06-2023,1,14,1226.82,Male,Laptop,Italy,5,18,9,Horror,Extremely satisfied,900,78867,Basic,10,1,1,876.3
171,29-04-2022,24-06-2023,3,11,963.93,Female,Tablet,United States,6,21,6,Dramma,Satisfied,900,78867,Premium,15,4,1,1314.45
172,27-04-2022,26-06-2023,1,12,1051.56,Female,Smartphone,Canada,3,24,6,Comedy,Neutral,800,70104,Basic,10,1,1,876.3
173,03-06-2022,25-06-2023,2,15,1314.45,Male,Smartphone,United Kingdom,3,24,9,Action & Adventure,Neutral,600,52578,Standard,12,2,1,1051.56
174,23-04-2022,25-06-2023,2,14,1226.82,Female,Tablet,Australia,4,19,8,Comedy,Neutral,900,78867,Standard,12,2,1,1051.56
175,22-04-2022,26-06-2023,1,10,876.3,Female,Laptop,Germany,3,21,6,Comedy,Neutral,700,61341,Basic,10,1,1,876.3
176,12-04-2022,25-06-2023,3,13,1139.19,Female,Smart TV,France,4,24,6,Comedy,Extremely satisfied,800,70104,Premium,15,4,1,1314.45
177,23-05-2022,26-06-2023,1,15,1314.45,Female,Smartphone,Brazil,1,20,6,Horror,Satisfied,500,43815,Basic,10,1,1,876.3
178,19-10-2022,26-06-2023,2,13,1139.19,Female,Laptop,Mexico,3,22,9,Dramma,Neutral,600,52578,Standard,12,2,1,1051.56
179,03-12-2022,26-06-2023,3,10,876.3,Female,Tablet,Spain,5,22,8,Comedy,Neutral,1000,87630,Premium,15,4,1,1314.45
180,26-09-2022,25-06-2023,1,14,1226.82,Male,Laptop,Italy,2,20,8,Action & Adventure,Satisfied,1000,87630,Basic,10,1,1,876.3
181,16-06-2022,27-06-2023,3,15,1314.45,Male,Smartphone,United States,5,21,10,Horror,Neutral,1000,87630,Premium,15,4,1,1314.45
182,16-05-2022,25-06-2023,1,13,1139.19,Female,Laptop,Canada,3,23,10,Horror,Extremely satisfied,900,78867,Basic,10,1,1,876.3
